Symbol	Security	GICS Sector	GICS Sub-Industry	Headquarters Location	Date added	CIK	Founded
NRG	NRG Energy	Utilities	Independent Power Producers & Energy Traders	Houston, Texas	2010-01-29	0001013871	1992
NUE	Nucor	Materials	Steel	Charlotte, North Carolina	1985-04-30	0000073309	1940
NVDA	Nvidia	Information Technology	Semiconductors	Santa Clara, California	2001-11-30	0001045810	1993
NVR	NVR, Inc.	Consumer Discretionary	Homebuilding	Reston, Virginia	2019-09-26	0000906163	1980
NXPI	NXP Semiconductors	Information Technology	Semiconductors	Eindhoven, Netherlands	2021-03-22	0001413447	1953
ORLY	O’Reilly Automotive	Consumer Discretionary	Automotive Retail	Springfield, Missouri	2009-03-27	0000898173	1957
OXY	Occidental Petroleum	Energy	Oil & Gas Exploration & Production	Houston, Texas	1957-03-04	0000797468	1920
ODFL	Old Dominion	Industrials	Cargo Ground Transportation	Thomasville, North Carolina	2019-12-09	0000878927	1934
OMC	Omnicom Group	Communication Services	Advertising	New York City, New York	1997-12-31	0000029989	1986
ON	ON Semiconductor	Information Technology	Semiconductors	Phoenix, Arizona	2022-06-21	0001097864	1999
OKE	Oneok	Energy	Oil & Gas Storage & Transportation	Tulsa, Oklahoma	2010-03-15	0001039684	1906
ORCL	Oracle Corporation	Information Technology	Application Software	Austin, Texas	1989-08-31	0001341439	1977
OTIS	Otis Worldwide	Industrials	Industrial Machinery & Supplies & Components	Farmington, Connecticut	2020-04-03	0001781335	2020 (1853, United Technologies spinoff)
PCAR	Paccar	Industrials	Construction Machinery & Heavy Transportation Equipment	Bellevue, Washington	1980-12-31	0000075362	1905
PKG	Packaging Corporation of America	Materials	Paper & Plastic Packaging Products & Materials	Lake Forest, Illinois	2017-07-26	0000075677	1959
PLTR	Palantir Technologies	Information Technology	Internet Services & Infrastructure	Denver, Colorado	2024-09-23	0001321655	2003
PANW	Palo Alto Networks	Information Technology	Systems Software	Santa Clara, California	2023-06-20	0001327567	2005
PARA	Paramount Global	Communication Services	Movies & Entertainment	New York City, New York	1994-09-30	0000813828	2019 (Paramount Pictures 1912)
PH	Parker Hannifin	Industrials	Industrial Machinery & Supplies & Components	Cleveland, Ohio	1985-11-30	0000076334	1917
PAYX	Paychex	Industrials	Human Resource & Employment Services	Penfield, New York	1998-10-01	0000723531	1971
PAYC	Paycom	Industrials	Human Resource & Employment Services	Oklahoma City, Oklahoma	2020-01-28	0001590955	1998
PYPL	PayPal	Financials	Transaction & Payment Processing Services	San Jose, California	2015-07-20	0001633917	1998
PNR	Pentair	Industrials	Industrial Machinery & Supplies & Components	Worsley, United Kingdom	2012-10-01	0000077360	1966
PEP	PepsiCo	Consumer Staples	Soft Drinks & Non-alcoholic Beverages	Purchase, New York	1957-03-04	0000077476	1898
PFE	Pfizer	Health Care	Pharmaceuticals	New York City, New York	1957-03-04	0000078003	1849
PCG	PG&E Corporation	Utilities	Multi-Utilities	Oakland, California	2022-10-03	0001004980	1905
PM	Philip Morris International	Consumer Staples	Tobacco	New York City, New York	2008-03-31	0001413329	2008 (1847)
PSX	Phillips 66	Energy	Oil & Gas Refining & Marketing	Houston, Texas	2012-05-01	0001534701	2012 (1917)
PNW	Pinnacle West Capital	Utilities	Multi-Utilities	Phoenix, Arizona	1999-10-04	0000764622	1985
PNC	PNC Financial Services	Financials	Diversified Banks	Pittsburgh, Pennsylvania	1988-04-30	0000713676	1845
POOL	Pool Corporation	Consumer Discretionary	Distributors	Covington, Louisiana	2020-10-07	0000945841	1993
PPG	PPG Industries	Materials	Specialty Chemicals	Pittsburgh, Pennsylvania	1957-03-04	0000079879	1883
PPL	PPL Corporation	Utilities	Electric Utilities	Allentown, Pennsylvania	2001-10-01	0000922224	1920
PFG	Principal Financial Group	Financials	Life & Health Insurance	Des Moines, Iowa	2002-07-22	0001126328	1879
PG	Procter & Gamble	Consumer Staples	Personal Care Products	Cincinnati, Ohio	1957-03-04	0000080424	1837
PGR	Progressive Corporation	Financials	Property & Casualty Insurance	Mayfield Village, Ohio	1997-08-04	0000080661	1937
PLD	Prologis	Real Estate	Industrial REITs	San Francisco, California	2003-07-17	0001045609	1983
PRU	Prudential Financial	Financials	Life & Health Insurance	Newark, New Jersey	2002-07-22	0001137774	1875
PEG	Public Service Enterprise Group	Utilities	Electric Utilities	Newark, New Jersey	1957-03-04	0000788784	1903
PTC	PTC Inc.	Information Technology	Application Software	Boston, Massachusetts	2021-04-20	0000857005	1985
PSA	Public Storage	Real Estate	Self-Storage REITs	Glendale, California	2005-08-19	0001393311	1972
PHM	PulteGroup	Consumer Discretionary	Homebuilding	Atlanta, Georgia	1984-04-30	0000822416	1956
PWR	Quanta Services	Industrials	Construction & Engineering	Houston, Texas	2009-07-01	0001050915	1997
QCOM	Qualcomm	Information Technology	Semiconductors	San Diego, California	1999-07-22	0000804328	1985
DGX	Quest Diagnostics	Health Care	Health Care Services	Secaucus, New Jersey	2002-12-12	0001022079	1967
RL	Ralph Lauren Corporation	Consumer Discretionary	Apparel, Accessories & Luxury Goods	New York City, New York	2007-02-02	0001037038	1967
RJF	Raymond James Financial	Financials	Investment Banking & Brokerage	St. Petersburg, Florida	2017-03-20	0000720005	1962
RTX	RTX Corporation	Industrials	Aerospace & Defense	Waltham, Massachusetts	1957-03-04	0000101829	1922
O	Realty Income	Real Estate	Retail REITs	San Diego, California	2015-04-07	0000726728	1969
REG	Regency Centers	Real Estate	Retail REITs	Jacksonville, Florida	2017-03-02	0000910606	1963
REGN	Regeneron Pharmaceuticals	Health Care	Biotechnology	Tarrytown, New York	2013-05-01	0000872589	1988
RF	Regions Financial Corporation	Financials	Regional Banks	Birmingham, Alabama	1998-08-28	0001281761	1971
RSG	Republic Services	Industrials	Environmental & Facilities Services	Phoenix, Arizona	2008-12-05	0001060391	1998 (1981)
RMD	ResMed	Health Care	Health Care Equipment	San Diego, California	2017-07-26	0000943819	1989
RVTY	Revvity	Health Care	Health Care Equipment	Waltham, Massachusetts	1985-05-31	0000031791	1937
ROK	Rockwell Automation	Industrials	Electrical Components & Equipment	Milwaukee, Wisconsin	2000-03-12	0001024478	1903
ROL	Rollins, Inc.	Industrials	Environmental & Facilities Services	Atlanta, Georgia	2018-10-01	0000084839	1948
ROP	Roper Technologies	Information Technology	Electronic Equipment & Instruments	Sarasota, Florida	2009-12-23	0000882835	1981
ROST	Ross Stores	Consumer Discretionary	Apparel Retail	Dublin, California	2009-12-21	0000745732	1982
RCL	Royal Caribbean Group	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Miami, Florida	2014-12-05	0000884887	1997
SPGI	S&P Global	Financials	Financial Exchanges & Data	New York City, New York	1957-03-04	0000064040	1917
CRM	Salesforce	Information Technology	Application Software	San Francisco, California	2008-09-15	0001108524	1999
SBAC	SBA Communications	Real Estate	Telecom Tower REITs	Boca Raton, Florida	2017-09-01	0001034054	1989
SLB	Schlumberger	Energy	Oil & Gas Equipment & Services	Houston, Texas	1957-03-04	0000087347	1926
STX	Seagate Technology	Information Technology	Technology Hardware, Storage & Peripherals	Dublin, Ireland	2012-07-02	0001137789	1979
SRE	Sempra	Utilities	Multi-Utilities	San Diego, California	2017-03-17	0001032208	1998
NOW	ServiceNow	Information Technology	Systems Software	Santa Clara, California	2019-11-21	0001373715	2003
SHW	Sherwin-Williams	Materials	Specialty Chemicals	Cleveland, Ohio	1964-06-30	0000089800	1866
SPG	Simon Property Group	Real Estate	Retail REITs	Indianapolis, Indiana	2002-06-26	0001063761	2003
SWKS	Skyworks Solutions	Information Technology	Semiconductors	Irvine, California	2015-03-12	0000004127	2002
SJM	J.M. Smucker Company (The)	Consumer Staples	Packaged Foods & Meats	Orrville, Ohio	2008-11-06	0000091419	1897
SW	Smurfit Westrock	Materials	Paper & Plastic Packaging Products & Materials	Dublin, Ireland	2024-07-08	0002005951	1934
SNA	Snap-on	Industrials	Industrial Machinery & Supplies & Components	Kenosha, Wisconsin	1982-09-30	0000091440	1920
SOLV	Solventum	Health Care	Health Care Technology	Saint Paul, Minnesota	2024-04-01	0001964738	2023
SO	Southern Company	Utilities	Electric Utilities	Atlanta, Georgia	1957-03-04	0000092122	1945
LUV	Southwest Airlines	Industrials	Passenger Airlines	Dallas, Texas	1994-07-01	0000092380	1967
SWK	Stanley Black & Decker	Industrials	Industrial Machinery & Supplies & Components	New Britain, Connecticut	1982-09-30	0000093556	1843
SBUX	Starbucks	Consumer Discretionary	Restaurants	Seattle, Washington	2000-06-07	0000829224	1971
STT	State Street Corporation	Financials	Asset Management & Custody Banks	Boston, Massachusetts	2003-03-14	0000093751	1792
STLD	Steel Dynamics	Materials	Steel	Fort Wayne, Indiana	2022-12-22	0001022671	1993
STE	Steris	Health Care	Health Care Equipment	Dublin, Ireland	2019-12-23	0001757898	1985
SYK	Stryker Corporation	Health Care	Health Care Equipment	Kalamazoo, Michigan	2000-12-12	0000310764	1941
SMCI	Supermicro	Information Technology	Technology Hardware, Storage & Peripherals	San Jose, California	2024-03-18	0001375365	1993
SYF	Synchrony Financial	Financials	Consumer Finance	Stamford, Connecticut	2015-11-18	0001601712	2003
SNPS	Synopsys	Information Technology	Application Software	Sunnyvale, California	2017-03-16	0000883241	1986
SYY	Sysco	Consumer Staples	Food Distributors	Houston, Texas	1986-12-31	0000096021	1969
TMUS	T-Mobile US	Communication Services	Wireless Telecommunication Services	Bellevue, Washington	2019-07-15	0001283699	1994
TROW	T. Rowe Price	Financials	Asset Management & Custody Banks	Baltimore, Maryland	2019-07-29	0001113169	1937
TTWO	Take-Two Interactive	Communication Services	Interactive Home Entertainment	New York City, New York	2018-03-19	0000946581	1993
TPR	Tapestry, Inc.	Consumer Discretionary	Apparel, Accessories & Luxury Goods	New York City, New York	2004-09-01	0001116132	2017
TRGP	Targa Resources	Energy	Oil & Gas Storage & Transportation	Houston, Texas	2022-10-12	0001389170	2005
TGT	Target Corporation	Consumer Staples	Consumer Staples Merchandise Retail	Minneapolis, Minnesota	1976-12-31	0000027419	1902
TEL	TE Connectivity	Information Technology	Electronic Manufacturing Services	Galway, Ireland	2011-10-17	0001385157	2007
TDY	Teledyne Technologies	Information Technology	Electronic Equipment & Instruments	Thousand Oaks, California	2020-06-22	0001094285	1960
TFX	Teleflex	Health Care	Health Care Equipment	Wayne, Pennsylvania	2019-01-18	0000096943	1943
TER	Teradyne	Information Technology	Semiconductor Materials & Equipment	North Reading, Massachusetts	2020-09-21	0000097210	1960
TSLA	Tesla, Inc.	Consumer Discretionary	Automobile Manufacturers	Austin, Texas	2020-12-21	0001318605	2003
TXN	Texas Instruments	Information Technology	Semiconductors	Dallas, Texas	2001-03-12	0000097476	1930
TPL	Texas Pacific Land Corporation	Energy	Oil & Gas Exploration & Production	Dallas, Texas	2024-11-26	0001811074	1888
TXT	Textron	Industrials	Aerospace & Defense	Providence, Rhode Island	1978-12-31	0000217346	1923
TMO	Thermo Fisher Scientific	Health Care	Life Sciences Tools & Services	Waltham, Massachusetts	2004-08-03	0000097745	2006 (1902)
TJX	TJX Companies	Consumer Discretionary	Apparel Retail	Framingham, Massachusetts	1985-09-30	0000109198	1987
TSCO	Tractor Supply	Consumer Discretionary	Other Specialty Retail	Brentwood, Tennessee	2014-01-24	0000916365	1938
TT	Trane Technologies	Industrials	Building Products	Dublin, Ireland	2010-11-17	0001466258	1871
TDG	TransDigm Group	Industrials	Aerospace & Defense	Cleveland, Ohio	2016-06-03	0001260221	1993
TRV	Travelers Companies (The)	Financials	Property & Casualty Insurance	New York City, New York	2002-08-21	0000086312	1853
TRMB	Trimble Inc.	Information Technology	Electronic Equipment & Instruments	Westminster, Colorado	2021-01-21	0000864749	1978
TFC	Truist Financial	Financials	Diversified Banks	Charlotte, North Carolina	1997-12-04	0000092230	1872
TYL	Tyler Technologies	Information Technology	Application Software	Plano, Texas	2020-06-22	0000860731	1966
TSN	Tyson Foods	Consumer Staples	Packaged Foods & Meats	Springdale, Arkansas	2005-08-10	0000100493	1935
USB	U.S. Bancorp	Financials	Diversified Banks	Minneapolis, Minnesota	1999-11-01	0000036104	1968
UBER	Uber	Industrials	Passenger Ground Transportation	San Francisco, California	2023-12-18	0001543151	2009
UDR	UDR, Inc.	Real Estate	Multi-Family Residential REITs	Highlands Ranch, Colorado	2016-03-07	0000074208	1972
ULTA	Ulta Beauty	Consumer Discretionary	Other Specialty Retail	Bolingbrook, Illinois	2016-04-18	0001403568	1990
UNP	Union Pacific Corporation	Industrials	Rail Transportation	Omaha, Nebraska	1957-03-04	0000100885	1862
UAL	United Airlines Holdings	Industrials	Passenger Airlines	Chicago, Illinois	2015-09-03	0000100517	1967
UPS	United Parcel Service	Industrials	Air Freight & Logistics	Sandy Springs, Georgia	2002-07-22	0001090727	1907
URI	United Rentals	Industrials	Trading Companies & Distributors	Stamford, Connecticut	2014-09-20	0001067701	1997
UNH	UnitedHealth Group	Health Care	Managed Health Care	Minnetonka, Minnesota	1994-07-01	0000731766	1977
UHS	Universal Health Services	Health Care	Health Care Facilities	King of Prussia, Pennsylvania	2014-09-20	0000352915	1979
VLO	Valero Energy	Energy	Oil & Gas Refining & Marketing	San Antonio, Texas	2002-12-20	0001035002	1980
VTR	Ventas	Real Estate	Health Care REITs	Chicago, Illinois	2009-03-04	0000740260	1998
VLTO	Veralto	Industrials	Environmental & Facilities Services	Waltham, Massachusetts	2023-10-02	0001967680	2023
VRSN	Verisign	Information Technology	Internet Services & Infrastructure	Dulles, Virginia	2006-02-01	0001014473	1995
VRSK	Verisk Analytics	Industrials	Research & Consulting Services	Jersey City, New Jersey	2015-10-08	0001442145	1971
VZ	Verizon	Communication Services	Integrated Telecommunication Services	New York City, New York	1983-11-30	0000732712	1983 (1877)
VRTX	Vertex Pharmaceuticals	Health Care	Biotechnology	Boston, Massachusetts	2013-09-23	0000875320	1989
VTRS	Viatris	Health Care	Pharmaceuticals	Pittsburgh, Pennsylvania	2004-04-23	0001792044	1961
VICI	Vici Properties	Real Estate	Hotel & Resort REITs	New York City, New York	2022-06-08	0001705696	2017
V	Visa Inc.	Financials	Transaction & Payment Processing Services	San Francisco, California	2009-12-21	0001403161	1958
VST	Vistra Corp.	Utilities	Electric Utilities	Irving, Texas	2024-05-08	0001692819	2016
VMC	Vulcan Materials Company	Materials	Construction Materials	Birmingham, Alabama	1999-06-30	0001396009	1909
WRB	W. R. Berkley Corporation	Financials	Property & Casualty Insurance	Greenwich, Connecticut	2019-12-05	0000011544	1967
GWW	W. W. Grainger	Industrials	Industrial Machinery & Supplies & Components	Lake Forest, Illinois	1981-06-30	0000277135	1927
WAB	Wabtec	Industrials	Construction Machinery & Heavy Transportation Equipment	Pittsburgh, Pennsylvania	2019-02-27	0000943452	1999 (1869)
WBA	Walgreens Boots Alliance	Consumer Staples	Drug Retail	Deerfield, Illinois	1979-12-31	0001618921	2014
WMT	Walmart	Consumer Staples	Consumer Staples Merchandise Retail	Bentonville, Arkansas	1982-08-31	0000104169	1962
DIS	Walt Disney Company (The)	Communication Services	Movies & Entertainment	Burbank, California	1976-06-30	0001744489	1923
WBD	Warner Bros. Discovery	Communication Services	Broadcasting	New York City, New York	2022-04-11	0001437107	2022 (Warner Bros. 1923)
WM	Waste Management	Industrials	Environmental & Facilities Services	Houston, Texas	1998-08-31	0000823768	1968
WAT	Waters Corporation	Health Care	Life Sciences Tools & Services	Milford, Massachusetts	2002-01-02	0001000697	1958
WEC	WEC Energy Group	Utilities	Electric Utilities	Milwaukee, Wisconsin	2008-10-31	0000783325	1896
WFC	Wells Fargo	Financials	Diversified Banks	San Francisco, California	1976-06-30	0000072971	1852
WELL	Welltower	Real Estate	Health Care REITs	Toledo, Ohio	2009-01-30	0000766704	1970
WST	West Pharmaceutical Services	Health Care	Health Care Supplies	Exton, Pennsylvania	2020-05-22	0000105770	1923
WDC	Western Digital	Information Technology	Technology Hardware, Storage & Peripherals	San Jose, California	2009-07-01	0000106040	1970
WY	Weyerhaeuser	Real Estate	Timber REITs	Seattle, Washington	1979-10-01	0000106535	1900
WMB	Williams Companies	Energy	Oil & Gas Storage & Transportation	Tulsa, Oklahoma	1975-03-31	0000107263	1908
WTW	Willis Towers Watson	Financials	Insurance Brokers	London, United Kingdom	2016-01-05	0001140536	2016
WDAY	Workday, Inc.	Information Technology	Application Software	Pleasanton, California	2024-12-23	0001327811	2005
WYNN	Wynn Resorts	Consumer Discretionary	Casinos & Gaming	Paradise, Nevada	2008-11-14	0001174922	2002
XEL	Xcel Energy	Utilities	Multi-Utilities	Minneapolis, Minnesota	1957-03-04	0000072903	1909
XYL	Xylem Inc.	Industrials	Industrial Machinery & Supplies & Components	White Plains, New York	2011-11-01	0001524472	2011
YUM	Yum! Brands	Consumer Discretionary	Restaurants	Louisville, Kentucky	1997-10-06	0001041061	1997
ZBRA	Zebra Technologies	Information Technology	Electronic Equipment & Instruments	Lincolnshire, Illinois	2019-12-23	0000877212	1969
